id,person_id,score
1,821e2c0252581ce0c34ffa1c0d94bd9c,17
2,821e2c0252581ce0c34ffa1c0d94bd9c,17
3,821e2c0252581ce0c34ffa1c0d94bd9c,17
4,e53a022d7e4162d32a93f5fabdc26098,4.75
5,e53a022d7e4162d32a93f5fabdc26098,4.75
6,92445fb13c0df474760210809159427c,7
7,92445fb13c0df474760210809159427c,7
8,85829d718dfbb75f370796a662363321,5
9,85829d718dfbb75f370796a662363321,5
10,0b158f00d91180bdbb0703dd49a919a7,13.25
11,03c7075b77dce65b9b85f2ee7840f810,9.5
12,c8e1c7e9de3662357e6033264fc81b2f,9
13,c8e1c7e9de3662357e6033264fc81b2f,9
14,4968b3dd9d42d1a24812b63f2887711c,11.75
15,4968b3dd9d42d1a24812b63f2887711c,11.75
16,ebb057f6193beb370ff6a100708aa79e,9.25
17,ebb057f6193beb370ff6a100708aa79e,9.25
18,0fada800ddb5205a1a49892bea8aeafb,5.5
19,94a69b017a2bb048275aa2e24cc17e33,3.75
20,bc2df7a57fda8d95db0509ef43a19a91,5.5
21,bc2df7a57fda8d95db0509ef43a19a91,5.5
22,799246ce71f37dd7f9e2addc8d3541d6,6.25
23,799246ce71f37dd7f9e2addc8d3541d6,6.25
24,daf241e00993034adb6a50b1d6944b3e,10.5
25,daf241e00993034adb6a50b1d6944b3e,10.5
26,d4b11b1fb854b784a50ade3188c11165,7.5
27,d4b11b1fb854b784a50ade3188c11165,7.5
28,d4b11b1fb854b784a50ade3188c11165,7.5
29,d4b11b1fb854b784a50ade3188c11165,7.5
30,4beb6da6933cc65098d1853dce6d93db,2.5
31,4beb6da6933cc65098d1853dce6d93db,2.5
32,4beb6da6933cc65098d1853dce6d93db,2.5
33,4beb6da6933cc65098d1853dce6d93db,2.5
34,4b1eba459abb185c3e24dc0108ccb177,8
35,4b1eba459abb185c3e24dc0108ccb177,8
36,b79b726e723a9cc19b2237ad6b28ffbb,-2.75
37,b79b726e723a9cc19b2237ad6b28ffbb,11
38,b79b726e723a9cc19b2237ad6b28ffbb,-2.75
39,b79b726e723a9cc19b2237ad6b28ffbb,11
40,0b158f00d91180bdbb0703dd49a919a7,19.25
41,0b158f00d91180bdbb0703dd49a919a7,19.25
42,0b158f00d91180bdbb0703dd49a919a7,19.25
43,094f5028ab30c1f8b9f828b74ecc4236,10.75
44,094f5028ab30c1f8b9f828b74ecc4236,10.75
45,fb4189b376917ba1e115530ea8e908ed,4.25
46,fb4189b376917ba1e115530ea8e908ed,4.25
47,8090f66a9ecb5bb73c05e0d755b3748e,6.75
48,8090f66a9ecb5bb73c05e0d755b3748e,6.75
49,0563f042cb396be8549e0654411b9df7,7.25
50,0563f042cb396be8549e0654411b9df7,7.25
51,1d47bb38358ef36d31ab82cabd9d8978,15.25
52,1d47bb38358ef36d31ab82cabd9d8978,15.25
53,1d47bb38358ef36d31ab82cabd9d8978,15.25
54,f1a1ce01eb8e0c4234e7dfc726166712,8.75
55,546e6503269acc3f3e8536d27e89eabd,17.25
56,546e6503269acc3f3e8536d27e89eabd,17.25
57,15ede2f8fbea0d312241e76dd4e15fd7,7.25
58,15ede2f8fbea0d312241e76dd4e15fd7,-4
59,15ede2f8fbea0d312241e76dd4e15fd7,-4
60,15ede2f8fbea0d312241e76dd4e15fd7,-4
61,15ede2f8fbea0d312241e76dd4e15fd7,7.25
62,15ede2f8fbea0d312241e76dd4e15fd7,-4
63,15ede2f8fbea0d312241e76dd4e15fd7,-4
64,15ede2f8fbea0d312241e76dd4e15fd7,-4
65,15ede2f8fbea0d312241e76dd4e15fd7,-4
66,15ede2f8fbea0d312241e76dd4e15fd7,7.25
67,15ede2f8fbea0d312241e76dd4e15fd7,7.25
68,15ede2f8fbea0d312241e76dd4e15fd7,-4
69,e559d03b57c090432e2519c4fea3b21a,10
70,e559d03b57c090432e2519c4fea3b21a,10
71,8d470fc4802c68e1591240bd1535623b,8.5
72,8d470fc4802c68e1591240bd1535623b,8.5
73,8d470fc4802c68e1591240bd1535623b,8.5
74,8d470fc4802c68e1591240bd1535623b,8.5
